20,12,-19,-35,18,-21
3,19,-47,47,7,-6
48,42,-33,11,31,50
33,-17,19,13,-27,-45
32,17,-44,19,-20,45
-22,-22,49,12,40,-12
-35,46,43,42,-3,35
-16,50,20,-47,20,-14
42,-7,38,-26,12,11
19,50,-24,-24,-35,9
39,-39,-8,-35,26,36
-24,-15,-27,-50,-50,18
33,10,40,-35,15,-47
39,21,42,44,35,-37
33,-19,14,-9,44,34
-28,9,-9,-32,-13,4
-27,-37,-29,4,-33,-9
-47,1,-14,-2,34,19
-24,44,41,-28,43,20
-28,21,19,-28,-45,10
19,41,41,-2,0,-40
-46,-45,33,25,12,-17
42,36,-6,-28,-35,-15
-9,49,-39,38,-15,10
-10,3,-44,-1,-21,47
-6,7,-18,-29,-33,-4
39,16,-8,43,-15,-25
-34,-10,-41,27,35,39
-32,19,15,16,-16,16
44,1,-22,-16,6,28
13,47,28,32,-31,45
-32,7,4,-47,43,-49
4,-40,-31,16,-20,36
-49,1,-6,-30,-30,21
-44,-28,27,-33,-35,13
8,-15,33,39,-32,0
-26,-42,43,2,37,-18
-7,-23,8,6,-41,24
30,29,-12,-42,-29,-8
8,24,-38,-1,-46,-12
33,-49,-1,46,47,10
29,-46,-12,-24,0,32
8,-45,-50,30,-27,-2
39,1,24,49,-9,32
22,35,31,26,37,47
-19,45,23,-10,-32,-32
1,-4,-44,24,20,-14
-46,30,-43,-27,46,14
-27,-9,-22,-7,-33,35
40,6,24,-15,-31,17
-8,-25,20,-23,8,26
-36,-24,-50,-5,14,18
3,36,34,27,34,-10
-26,44,49,8,-36,-24
8,14,9,-30,0,34
43,31,-33,10,-24,45
-2,31,39,-20,-28,-46
22,-25,23,4,-13,42
-29,-33,9,34,5,-23
-18,-36,-40,49,-34,11
36,25,-29,24,-45,35
-37,-40,-26,-22,11,4
-31,13,41,1,-30,-42
29,-25,10,-28,-22,47
-5,-45,-25,33,-9,27
-49,-34,41,-6,-23,42
-5,-19,-4,15,-16,20
-33,-21,-35,-9,16,8
-31,11,13,-5,-8,-1
-6,-22,-44,4,-42,24
-23,0,40,42,4,11
-49,6,-24,-31,43,-2
32,-5,49,18,-41,29
-49,-15,19,-42,-30,-25
11,-18,-16,-19,-24,-32
-34,42,7,-13,-10,-6
37,46,45,-46,8,34
13,0,-32,-25,-18,-2
-11,23,26,38,-35,12
5,5,34,-27,-36,15
18,0,-12,-17,20,-48
20,46,-44,23,-42,19
45,-8,-2,-42,41,-46
-18,-35,-17,9,16,44
-46,-32,23,-9,-18,38
-39,13,-44,14,-8,2
-21,44,-29,-19,-13,35
-45,-14,3,2,-42,-33
35,8,-4,9,49,-14
-11,37,39,-44,-34,25
24,4,-38,26,18,-24
3,-45,-1,41,13,-37
24,47,-27,43,44,-42
-5,-11,-42,-23,6,-17
1,17,1,-40,-43,2
8,-17,-43,-27,-33,-24
40,-13,-27,-24,42,42
47,-9,41,29,44,45
6,-31,28,-11,8,6
39,12,50,-26,-45,26
-42,-27,19,-16,-36,30
-6,43,-26,-13,36,24
37,40,-8,-21,-25,26
-2,48,49,17,-34,-7
-1,-19,-13,-43,-13,-41
-21,-20,41,-32,48,-11
-45,-44,-45,22,-28,38
-25,45,40,0,-17,-14
13,-37,35,50,-2,-29
28,30,-32,24,47,-30
-27,17,-37,-24,-25,20
-22,-21,-25,-48,11,4
-19,-2,-30,-23,-46,44
-43,18,25,-17,36,17
46,-13,-37,37,28,37
3,-21,7,-16,-28,26
25,-46,-23,16,17,-10
29,6,22,-50,30,-10
5,39,14,-11,-34,20
46,-43,40,-41,22,-42
-49,-29,-24,-5,47,-38
-46,13,-32,-39,-30,16
-21,26,9,8,-34,-11
-36,25,31,-39,-44,17
27,40,47,-46,-19,-40
35,-41,-5,-36,33,40
38,-5,-12,22,-47,-4
-7,12,49,5,11,36
41,40,-32,-5,-46,-42
-22,-28,32,-2,0,-30
8,46,-37,29,44,22
-17,-1,-12,-50,15,5
3,46,22,25,-16,-1
37,-11,21,-18,-1,8
29,-27,-4,14,-18,-2
-21,7,-3,-47,37,28
45,47,-36,34,3,-36
-12,31,-22,29,19,-15
-27,37,5,-43,22,-50
5,-43,35,-4,-27,28
-47,-46,-42,-25,-2,34
-28,-32,16,-49,18,28
23,9,-44,-47,-14,26
39,-35,43,5,38,-36
-39,-4,6,26,40,-21
36,28,-36,-29,23,27
17,7,26,20,7,-17
43,17,-44,-41,-12,46
35,-10,8,49,-27,-2
-30,31,-32,-14,49,-47
-17,19,-21,-37,48,5
-42,21,-15,-11,34,-2
-44,-20,9,-22,-36,50
24,-29,-46,-1,-34,-40
20,-30,-32,42,-13,-40
28,28,-41,41,1,26
-36,23,-1,-2,-27,4
8,-33,13,-29,-25,47
46,40,0,-34,-11,-17
-29,10,-10,-44,44,-17
-40,30,46,29,-27,-34
40,-8,0,12,-28,-35
35,-38,41,-14,-28,22
-3,24,-7,-27,-48,1
7,15,28,-1,4,35
7,-17,-41,32,-39,20
0,-22,11,-10,48,33
-5,31,39,-21,-45,34
45,50,6,27,10,45
42,8,2,45,-36,-34
-13,7,30,-35,-32,-16
-20,-29,26,-17,48,45
-6,-26,-28,-37,-29,-44
-14,23,23,37,-11,-14
-47,14,-34,-37,-48,27
-20,37,4,49,28,3
7,-40,47,-4,-10,38
15,11,18,3,45,-18
11,42,33,10,-39,-20
9,13,-19,-3,11,-12
-39,-33,-49,-36,14,7
41,29,-41,8,-8,48
-9,33,-33,12,24,-8
-9,20,-10,49,1,29
-7,-9,29,-26,19,2
35,-16,15,-30,-29,38
45,-43,-47,-33,22,32
47,13,9,42,-13,32
50,-1,44,40,-28,-15
-18,9,25,3,49,39
-48,12,6,43,37,-37
-41,-36,10,16,-23,-46
29,16,12,31,-43,24
-43,-9,-34,-8,-9,-41
1,35,48,0,15,37
42,38,-31,8,-25,33
-16,-15,-2,3,-47,30
15,-6,-4,41,47,32
-8,-35,34,21,-28,-36
35,24,44,11,-47,4
-1,25,4,23,41,-2
5,30,-17,50,-11,15
43,39,31,-39,-22,-13
14,-1,2,42,40,20
-23,-18,-49,-31,35,15
45,42,-43,29,-29,8
23,16,12,-23,-43,21
-8,17,9,18,-23,-46
8,18,7,-7,38,-15
25,7,-5,-38,-31,23
38,18,-30,-14,-29,-4
-10,19,23,25,-3,-1
28,-4,-35,29,-23,50
-27,22,-30,-43,13,-50
43,-27,-17,43,-26,-43
-3,7,20,30,36,29
-45,-31,27,47,-3,-13
49,29,25,11,33,8
-42,-11,11,25,9,-4
-42,-11,25,1,4,-2
41,44,33,49,34,1
13,-18,-22,-41,42,4
-30,16,-24,-21,38,25
-32,-4,-7,36,-44,-31
-2,16,-41,-23,-6,28
42,11,34,-17,14,10
-29,9,15,-19,29,5
-39,-3,-9,-36,46,-4
31,37,-44,30,40,-30
-34,11,-46,-42,26,24
-34,-14,-47,1,33,1
-31,27,-36,18,-37,-12
-17,49,-34,-23,16,-49
-24,-30,-7,50,43,45
-7,-21,43,15,-19,40
14,34,1,-16,-20,28
-21,47,-25,4,-36,33
-41,-26,33,-27,-27,-15
8,16,21,-34,11,40
-16,27,-38,-40,-50,-39
-7,-43,42,-42,-19,40
-29,41,-36,6,-42,15
24,-17,38,16,46,39
46,4,35,31,22,-27
42,-45,-32,22,47,-8
-15,-24,50,-12,-20,-12
-23,11,-48,3,-16,38
-31,46,-26,-21,7,27
14,43,-13,23,10,-10
15,-17,44,-11,27,-29
-38,-40,-28,16,17,48
-11,-36,50,2,38,31
42,-46,-45,-44,-42,33
-39,42,40,47,-12,7
13,-29,42,-1,-28,44
4,25,13,-13,-48,-7
10,-40,-49,-21,-37,39
37,-4,12,-17,4,-3
32,47,50,-36,19,-42
15,-27,-30,-5,10,14
4,-26,-45,-17,-12,-40
23,47,-39,5,-41,43
48,37,-31,20,-39,-30
-19,-7,37,14,42,-6
41,-47,-42,-49,-50,-47
18,-5,19,37,-37,6
-5,17,0,-44,-47,30
5,41,3,17,4,-50
-45,19,-24,-20,-14,-43
-35,28,8,-46,35,14
39,47,26,-29,-33,33
43,-47,22,-48,16,-8
17,36,-35,20,-37,40
40,-17,13,-4,-27,-38
-17,36,-39,0,-5,-30
-30,20,31,-37,-47,28
-23,-46,21,41,24,-18
-6,-30,47,-47,-50,-2
0,13,-35,27,32,-29
14,38,14,-20,-10,10
-17,-48,-35,-42,15,-47
18,-37,23,32,-25,4
